,months_as_customer,age,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,fraud_reported,vehicle_age
37,289,49,IL,500/1000,2000,1222.48,0,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,Rear Collision,Minor Damage,None,WV,Arlington,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,0,17
38,431,54,IN,500/1000,2000,1155.55,0,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,4,3,NO,2,0,NO,62300,12460,6230,43610,Jeep,Wrangler,0,11
39,199,37,IN,250/500,500,1262.08,0,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,4,1,NO,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,1,7
40,79,26,IL,100/300,500,1451.62,0,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,19,1,NO,2,2,NO,40000,8000,4000,28000,BMW,M5,0,8
41,116,34,IN,250/500,500,1737.66,0,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,1,1,NO,1,1,NO,97080,16180,16180,64720,BMW,X5,1,17
42,37,23,IL,500/1000,500,1475.93,0,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,0,8
43,106,30,OH,250/500,500,538.17,0,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,0,13
44,269,44,IL,100/300,2000,1081.08,0,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,14,1,YES,0,2,NO,56400,11280,11280,33840,Toyota,Highlander,0,4
45,265,40,IL,250/500,1000,1454.43,0,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,17,3,NO,2,3,NO,55120,6890,0,48230,Accura,MDX,0,16
46,163,33,IN,100/300,500,1240.47,0,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,11,3,YES,1,1,NO,77110,0,14020,63090,Honda,Civic,0,4
47,355,47,OH,500/1000,2000,1273.7,4000000,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,1,15
48,175,34,IN,500/1000,1000,1123.87,8000000,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,Rear Collision,Trivial Damage,Police,NY,Arlington,5,1,NO,2,0,YES,7290,810,810,5670,Volkswagen,Passat,0,23
49,192,35,IL,100/300,1000,1245.89,0,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,19,1,NO,0,0,NO,76600,15320,7660,53620,Mercedes,C300,0,18
50,430,59,OH,250/500,2000,1326.62,7000000,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,19,3,NO,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,0,20
51,91,27,IL,100/300,2000,1073.83,0,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,NY,Arlington,4,1,NO,1,2,NO,7260,1320,660,5280,BMW,M5,0,10
52,217,39,IN,100/300,1000,1530.52,0,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,Rear Collision,Minor Damage,None,WV,Northbend,8,1,NO,2,1,YES,4300,430,430,3440,Toyota,Corolla,0,18
53,223,40,IN,100/300,500,1201.41,0,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7,3,YES,1,0,NO,70510,12820,12820,44870,Suburu,Forrestor,0,19
54,195,39,OH,250/500,1000,1393.57,0,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,Rear Collision,Minor Damage,Police,VA,Northbend,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,0,9
55,22,26,OH,100/300,1000,1276.57,0,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,0,23
56,439,56,IN,250/500,500,1082.49,0,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,12,3,NO,2,3,NO,56430,0,6270,50160,Honda,CRV,0,4
57,94,32,IN,500/1000,1000,1414.74,0,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,Rear Collision,Minor Damage,None,VA,Riverwood,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,0,4
58,11,39,IL,250/500,2000,1470.06,0,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,0,11
59,151,36,OH,250/500,2000,870.63,0,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,0,18
60,154,34,IN,100/300,500,795.23,0,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,15,3,YES,2,1,NO,69480,15440,0,54040,Nissan,Maxima,1,4
61,245,44,IL,500/1000,1000,1168.2,0,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,0,21
62,119,32,IL,500/1000,1000,993.51,0,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,0,7
63,215,42,OH,500/1000,500,1848.81,0,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,1,15
64,295,42,OH,250/500,2000,1641.73,5000000,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,1,12
65,254,39,IN,100/300,500,1362.87,0,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1,23
66,107,31,IN,250/500,500,1239.22,7000000,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,1,9
67,478,64,OH,250/500,500,835.02,0,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,0,20
68,128,30,OH,100/300,1000,1061.33,0,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,0,21
69,338,49,IN,500/1000,1000,1279.08,0,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,Rear Collision,Minor Damage,None,NC,Riverwood,13,1,NO,0,1,NO,4300,860,860,2580,Ford,F150,0,14
70,271,42,OH,100/300,500,1105.49,0,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,12,2,NO,2,3,NO,68310,12420,6210,49680,Audi,A3,1,15
71,222,41,OH,100/300,2000,1055.53,0,FEMALE,MD,armed-forces,cross-fit,not-in-family,37800,-50300,Single Vehicle Collision,Front Collision,Total Loss,Other,WV,Northbrook,7,1,NO,0,2,NO,61290,6810,6810,47670,Honda,Civic,1,23
72,199,41,OH,250/500,1000,895.83,0,FEMALE,Associate,sales,paintball,husband,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,NC,Arlington,10,1,NO,1,2,NO,30100,3010,0,27090,Chevrolet,Malibu,0,19
73,215,37,IN,100/300,500,1632.93,0,FEMALE,College,transport-moving,golf,not-in-family,0,-42900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,SC,Riverwood,7,3,NO,2,0,YES,57120,9520,4760,42840,Mercedes,C300,0,16
74,192,40,IL,100/300,1000,1405.99,0,FEMALE,Associate,sales,yachting,wife,0,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,VA,Springfield,18,3,YES,1,0,YES,42930,9540,4770,28620,BMW,X6,0,13
75,120,35,OH,100/300,1000,1425.54,0,FEMALE,High School,transport-moving,bungie-jumping,other-relative,78300,0,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,SC,Riverwood,22,3,NO,2,0,NO,51210,11380,5690,34140,Ford,Fusion,0,8
76,270,45,OH,500/1000,1000,1038.09,0,FEMALE,College,handlers-cleaners,golf,husband,0,-19700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Springfield,18,3,NO,1,1,YES,89400,14900,7450,67050,Suburu,Legacy,0,20
77,319,47,IN,250/500,500,1307.11,0,MALE,College,transport-moving,dancing,not-in-family,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,WV,Northbrook,22,3,NO,0,2,NO,59730,10860,10860,38010,Audi,A3,0,13
78,194,39,OH,500/1000,1000,1489.24,6000000,FEMALE,JD,other-service,kayaking,wife,0,-45000,Vehicle Theft,Rear Collision,Minor Damage,None,SC,Springfield,15,1,YES,2,2,YES,8060,1240,1240,5580,Saab,95,0,14
79,227,38,OH,500/1000,500,976.67,0,FEMALE,PhD,handlers-cleaners,polo,unmarried,0,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,SC,Northbrook,16,1,NO,1,2,NO,72200,14440,7220,50540,BMW,M5,1,5
80,137,31,OH,250/500,2000,1340.43,0,MALE,High School,exec-managerial,paintball,husband,52700,-40600,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,NC,Arlington,6,3,NO,1,2,NO,50800,10160,10160,30480,Accura,MDX,0,13
81,244,40,OH,500/1000,2000,1267.81,5000000,FEMALE,Masters,exec-managerial,video-games,wife,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Northbrook,10,1,NO,2,1,NO,6600,660,1320,4620,Accura,TL,0,13
82,78,29,IL,250/500,1000,1234.2,6000000,MALE,Masters,other-service,bungie-jumping,other-relative,0,0,Vehicle Theft,Rear Collision,Minor Damage,Police,NY,Northbrook,3,1,YES,2,2,NO,7500,750,1500,5250,Nissan,Maxima,0,16
83,200,35,IN,250/500,2000,1318.06,0,MALE,High School,exec-managerial,video-games,wife,57300,-80600,Vehicle Theft,Rear Collision,Trivial Damage,None,VA,Hillsdale,13,1,NO,0,3,YES,6490,1180,1180,4130,Volkswagen,Jetta,0,16
84,284,48,IN,500/1000,2000,769.95,0,MALE,Masters,prof-specialty,movies,not-in-family,0,-44200,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,NY,Hillsdale,16,2,NO,2,3,NO,60940,5540,11080,44320,Audi,A3,1,5
85,275,41,OH,100/300,2000,1514.72,0,MALE,High School,transport-moving,board-games,own-child,35700,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,NY,Northbrook,13,3,YES,0,1,NO,58300,5830,11660,40810,Suburu,Legacy,0,11
86,153,34,IL,500/1000,1000,873.64,4000000,FEMALE,Associate,priv-house-serv,yachting,husband,800,0,Multi-vehicle Collision,Front Collision,Minor Damage,Other,SC,Columbus,9,3,NO,2,1,NO,68400,11400,11400,45600,Ford,F150,0,11
87,134,32,IL,500/1000,500,1612.43,0,FEMALE,MD,other-service,yachting,own-child,36400,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,VA,Springfield,2,1,NO,2,1,YES,64240,11680,11680,40880,BMW,3 Series,0,3
88,31,36,IL,500/1000,2000,1318.24,9000000,FEMALE,College,prof-specialty,kayaking,not-in-family,0,-78600,Parked Car,Rear Collision,Trivial Damage,None,WV,Arlington,9,1,NO,0,1,YES,4700,940,470,3290,Dodge,Neon,0,16
89,41,25,IN,100/300,1000,1226.83,0,FEMALE,College,exec-managerial,exercise,not-in-family,0,-56100,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Columbus,12,3,YES,2,0,NO,45120,0,5640,39480,Accura,MDX,1,7
90,127,29,OH,250/500,2000,1326.44,5000000,FEMALE,High School,sales,board-games,own-child,0,0,Multi-vehicle Collision,Front Collision,Total Loss,Fire,SC,Arlington,12,2,YES,1,1,NO,66950,10300,10300,46350,Saab,93,0,23
91,61,23,IL,250/500,2000,1136.83,4000000,FEMALE,Associate,tech-support,exercise,own-child,0,-62400,Single Vehicle Collision,Side Collision,Major Damage,Police,NY,Columbus,14,1,NO,0,3,NO,98340,8940,17880,71520,Honda,Accord,1,14
92,207,42,IL,250/500,2000,1322.78,0,MALE,PhD,farming-fishing,yachting,own-child,55200,0,Parked Car,Rear Collision,Trivial Damage,None,WV,Springfield,9,1,NO,0,1,NO,5900,590,590,4720,BMW,X5,0,11
93,219,43,IN,100/300,1000,1483.25,0,FEMALE,MD,exec-managerial,exercise,not-in-family,90700,-20800,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Riverwood,3,3,NO,1,1,NO,70680,5890,11780,53010,Ford,Fusion,0,9
94,271,42,IL,100/300,500,1515.3,0,FEMALE,High School,machine-op-inspct,hiking,not-in-family,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,SC,Northbend,21,3,NO,1,0,NO,93720,17040,8520,68160,Mercedes,ML350,0,13
95,80,25,IL,100/300,2000,1075.18,5000000,FEMALE,PhD,armed-forces,exercise,husband,67700,-58400,Vehicle Theft,Rear Collision,Minor Damage,None,OH,Northbrook,5,1,NO,2,0,YES,6930,1260,630,5040,Toyota,Highlander,0,17
96,325,47,IN,500/1000,1000,1690.27,0,FEMALE,Associate,protective-serv,hiking,not-in-family,61500,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,VA,Springfield,11,1,YES,0,3,NO,72930,6630,6630,59670,Dodge,RAM,1,12
97,29,25,IL,250/500,2000,1352.83,0,MALE,Masters,farming-fishing,skydiving,own-child,0,-71700,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,SC,Hillsdale,4,4,YES,1,2,YES,64890,7210,7210,50470,Nissan,Pathfinder,1,5
98,295,48,OH,250/500,1000,1148.73,0,FEMALE,College,machine-op-inspct,kayaking,wife,0,0,Parked Car,Rear Collision,Trivial Damage,None,WV,Columbus,6,1,NO,1,2,YES,5400,900,900,3600,Saab,95,0,19
99,239,42,IL,100/300,1000,969.5,0,MALE,College,exec-managerial,reading,not-in-family,0,0,Vehicle Theft,Rear Collision,Trivial Damage,None,NC,Northbrook,10,1,NO,0,0,NO,5600,700,700,4200,Audi,A3,0,11
100,269,41,IN,100/300,500,1463.82,0,FEMALE,College,protective-serv,yachting,not-in-family,0,-72300,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbend,23,1,YES,0,0,NO,79300,15860,15860,47580,Saab,92x,0,11
101,80,27,IL,100/300,1000,1474.17,0,FEMALE,College,tech-support,exercise,unmarried,0,0,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbend,13,1,YES,1,0,YES,52800,10560,5280,36960,Saab,95,0,14
102,279,41,IL,250/500,500,1497.35,0,FEMALE,JD,prof-specialty,bungie-jumping,husband,37300,-31700,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NC,Northbrook,16,3,NO,2,3,NO,28800,0,3600,25200,Ford,Fusion,0,5
103,165,33,OH,100/300,1000,1427.14,0,FEMALE,Associate,tech-support,kayaking,other-relative,35300,-58100,Parked Car,Rear Collision,Minor Damage,Police,WV,Northbend,3,1,NO,1,1,NO,2970,330,330,2310,Toyota,Highlander,0,10
104,350,54,OH,500/1000,500,1495.1,0,MALE,College,other-service,basketball,wife,50500,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Northbend,15,3,NO,0,0,NO,93480,15580,7790,70110,Chevrolet,Malibu,0,4
105,295,49,IL,100/300,500,1141.62,0,MALE,College,prof-specialty,kayaking,husband,34300,-24300,Vehicle Theft,Rear Collision,Minor Damage,None,WV,Columbus,4,1,YES,1,3,YES,4320,480,480,3360,Mercedes,E400,0,16
106,464,61,OH,500/1000,1000,1125.37,0,FEMALE,Associate,prof-specialty,basketball,husband,0,-56400,Multi-vehicle Collision,Rear Collision,Major Damage,Police,VA,Northbend,6,3,NO,0,2,YES,79800,6650,19950,53200,Saab,95,1,18
